1336420,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",ANDALUSIA,AL,36420,GENERAL ACUTE CARE,88,31.29579533,-86.49454911,88
1535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,GENERAL ACUTE CARE,71,34.80416393,-86.97840721,71
136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,ATMORE,AL,36502,GENERAL ACUTE CARE,51,31.01702387,-87.47879851,51
236124,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",MONTGOMERY,AL,36117,GENERAL ACUTE CARE,150,32.3763995,-86.17493002,150
1736111,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",MONTGOMERY,AL,36111,GENERAL ACUTE CARE,432,32.32815395,-86.27754935,432
2035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,GENERAL ACUTE CARE,35,32.95135837,-87.14831123,35
196784204,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,HOMEWOOD,AL,35209,GENERAL ACUTE CARE,595,33.46425993,-86.7766651,595
8236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,GENERAL ACUTE CARE,61,32.14663511,-85.71700933,61
1636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,TUSKEGEE,AL,36083,GENERAL ACUTE CARE,143,32.44521832,-85.71214861,143
2836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,CRITICAL ACCESS,25,32.09310534,-88.20949244,25
3035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",TALLADEGA,AL,35161,GENERAL ACUTE CARE,122,33.44027682,-86.0907834,122
3236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",ASHLAND,AL,36251,GENERAL ACUTE CARE,53,33.27756394,-85.82398278,53
3336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,GENERAL ACUTE CARE,69,32.53390983,-85.91224661,69
3435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,GENERAL ACUTE CARE,168,33.16456023,-86.25548758,168
3536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,GENERAL ACUTE CARE,65,31.69354407,-86.2650457,65
8435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,GENERAL ACUTE CARE,180,34.6936114,-86.57217154,180
3735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,GENERAL ACUTE CARE,150,34.2013272,-86.80572957,150
3836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",BREWTON,AL,36427,GENERAL ACUTE CARE,91,31.12703391,-87.0734993,91
836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,GENERAL ACUTE CARE,89,31.45157666,-85.63208804,89
935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,GENERAL ACUTE CARE,583,33.20482053,-87.52741947,583
3935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,DECATUR,AL,35601,GENERAL ACUTE CARE,273,34.59034409,-86.97148153,273
1035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,DECATUR,AL,35601,GENERAL ACUTE CARE,120,34.57689679,-87.01580866,120
4135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",FORT PAYNE,AL,35968,GENERAL ACUTE CARE,134,34.44127984,-85.75621837,134
5036854,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,GENERAL ACUTE CARE,115,32.82459811,-85.16870267,115
1236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,GENERAL ACUTE CARE,314,32.63852487,-85.40447479,314
